date,step02h_eqparamA,step02t_eqparamA,step03h_eqparamA,step03t_eqparamA,step04h_eqparamA,step04t_eqparamA,step05h_eqparamA,step05t_eqparamA,step08h_eqparamA,step10h_eqparamA,step12h_eqparamA,system_eqparamA,step01at_eqparamB,step01bt_eqparamB,step02t_eqparamB,step04t_eqparamB,step05t_eqparamB,step01h_reagparamA,step01at_reagparamA,step01bt_reagparamA,step03h_reagparamB,step03t_reagparamB,system_eqparamC,system_reageparamC,system_eqparamD,system_state,system_result
11/2/2020,12.29565486,12.00387969,20.34631441,16.65732372,13.80939938,6.587716244,12.18465681,4.896490619,6.694041297,6.407823716,4.515850005,33.97259533,1.206176847,0.635212351,2.208476867,0.734046879,0.589156104,36.11773305,10.01195068,9.737078009,143.4902662,143.3304525,7.0575852,7.23085164,4.87783504,27.01638661,0.41
11/3/2020,15.85832076,14.73068142,20.78521729,17.40764855,16.7389378,6.998624618,14.75545826,6.247634468,9.284609039,8.996240301,8.587912581,37.31477688,1.199100063,0.553920325,2.382018472,0.714423519,0.630308578,27.02094127,8,10,236.0638029,182.1209989,7.741932882,6.969547402,5.177280681,91.12240695,0.46
11/13/2020,10.58188685,8.465574013,19.74470821,16.01822204,18.97113807,4.360213776,17.66734865,5.214348942,4.892348358,4.076709217,4.076394264,31.86209867,1.534501139,1.33687339,1.913601289,0.621833802,0.659446944,17.08835925,1.638621703,1.638745756,250,250,7,6.895972614,5.168646528,165.1755973,0.58
11/17/2020,11.91885616,8.890461765,22.19767593,18.0470958,15.2108784,2.560718925,13.82352311,3.142425058,10.09018445,10.099018,9.681287314,27.70566699,1.292315094,0.861173505,1.856689781,0.532826492,0.637660239,20.21485952,2.194880517,2.194752336,321.9770333,318.7877444,6.362473401,7.274869211,6.229105652,113.717519,0.47
11/18/2020,11.20980347,7.999753113,21.76827912,17.26894624,16.65805931,2.38788362,14.0733694,3.536306409,11.81033342,8.28802065,8.983881782,25.7905733,1.217140495,0.797381605,1.850104018,0.633156023,0.658685757,13.08207376,5,4.587043322,350,350,6,7.021780682,6.775836696,130.0426228,0.4
11/23/2020,10.67003367,7.887823692,19.05766963,16.69445749,10.90371773,2.747698571,10.23371824,3.602386678,4.540451963,4.050596065,4.769378594,27.01731494,1.19233269,0.70844331,2.074431088,0.606522706,0.648017989,24.52834809,7.513342036,6.526549606,214.4757248,214.4626415,5.369345307,7.174758138,5.162659548,75.63384705,0.38
11/24/2020,12.41373428,9.818160718,20.82689117,17.75743233,13.33867568,3.656932639,11.96651201,3.337567008,9.543095682,7.397755219,8.912482326,31.15055332,1.080327685,0.726781446,2.124233502,0.632428034,0.619873167,19.68882213,9,8,247.0970761,247.0982815,5,6.961660942,5.569145237,63.82516127,0.33
11/25/2020,10.63149902,9.413058563,18.86145213,14.47287592,15.47988415,3.750931867,14.41730899,3.620456181,11.84799731,8.189384378,9.917161017,31.04740824,1.086948313,0.697283163,2.247102487,0.676166127,0.660605361,18,9,8,288.1022163,288.1034406,5,7.694162853,5.171711257,74.83117863,0.44
11/30/2020,13.73998345,9.731702702,18.15573865,15.1528233,13.19613736,3.938614086,10.79906859,3.169777182,6.852903559,4.635242777,5.265988339,33.59190306,1.228121301,0.967888188,2.230322198,0.696246414,0.598148379,21.97784663,7.118949618,7.372995561,244.1351057,260.9057309,6.417536713,7.083248755,5.396857343,39.00827939,0.46
12/1/2020,13.83472351,10.72157903,22.46819571,18.19898603,18.96651598,4.108513009,18.38721722,4.543024572,11.35523584,8.495412983,5.179334856,31.00175395,1.090538247,0.817899366,2.250824064,0.599294105,0.608389129,20.4386006,7.38036202,5.444042327,257.4086123,250,7,6.940679251,5.981556381,157.8973145,0.38
