,step02h_eqparamA,step02t_eqparamA,step03h_eqparamA,step03t_eqparamA,step04h_eqparamA,step04t_eqparamA,step05h_eqparamA,step05t_eqparamA,step08h_eqparamA,step10h_eqparamA,step12h_eqparamA,system_eqparamA,step01at_eqparamB,step01bt_eqparamB,step02t_eqparamB,step04t_eqparamB,step05t_eqparamB,step01h_reagparamA,step01at_reagparamA,step01bt_reagparamA,step03h_reagparamB,step03t_reagparamB,system_eqparamC,system_reageparamC,system_eqparamD,system_state,system_result
204,10.20615975,5.269792833,18.24556429,14.57155723,13.45851229,2.689148114,9.163512441,1.951001133,9.841448238,10.35980317,9.275443767999999,26.39724809,1.033880622,1.0974585620000001,2.113180899,0.727515392,0.79308841,26.26918993,0.0,0.0,324.17959069999995,350.0,6.0,8.72201839,4.3978775269999995,72.35688086,Bad
288,11.59469293,12.96403471,22.0,18.81867418,18.6960333,5.849144317,16.85186262,5.854143677000001,14.0,10.0,11.99422157,36.39728865,0.863880065,1.4228821319999998,2.465616896,0.702224677,0.659265873,27.96088124,5.0,5.0,350.0,199.2847506,9.0,7.011022399,6.656041375,129.07062,Good
10,13.90843196,9.577345787999999,21.44243337,17.18233984,17.06809806,3.2702576339999996,18.39272672,4.6704243210000005,10.78226032,11.96129417,8.390811285,29.32795868,1.1005135590000001,0.8172783370000001,2.238371229,0.668261862,0.613815845,18.71929015,7.303456768999999,5.237318035,367.30227169999995,364.2919467,7.0,7.004696243,5.696510987000001,161.5113622,Bad
343,12.58714565,9.169557664,23.16961213,18.43134563,15.83030375,2.0,15.636227700000001,3.212020285,12.0,10.87354938,13.1093438,32.45977203,0.9386171590000001,1.476914565,2.234709118,0.7633826220000001,0.75908697,32.23147017,4.900000095,4.900000095,325.69258310000004,325.6983412,6.0,6.897593181,5.902287713,120.92058109999999,Bad
12,15.12195597,11.48236002,20.89470082,18.20265519,15.983782500000002,2.901993585,14.03056024,2.84883024,7.2822349189999995,8.266933547,4.68674728,30.56121744,1.0830737129999999,0.532814138,2.218589891,0.598675477,0.570682245,22.62242689,10.1243941,6.764164641,350.0,300.0,7.0,7.278900652999999,5.216745696,103.0958275,Bad
243,14.00474998,10.26581156,20.68626064,17.82309516,11.28823876,2.2690936919999998,12.77965072,6.370841788,11.34818009,10.70858565,10.82471424,31.27408927,1.107326397,1.751440415,2.284736655,0.7730374790000001,0.748304352,25.0,4.99921123,4.0,350.0,350.0,6.0,7.000123232999999,5.419625272999999,58.94766514,Good
441,17.5246427,13.35899149,24.32356101,20.52289998,20.12353836,4.827907523,18.78301306,8.602429589,11.50449602,11.47251556,11.64842526,32.97578181,1.5930715709999999,1.794399149,2.3794349059999997,0.766970267,0.725946592,20.21596128,0.0,0.0,347.8683458,336.87324689999997,6.0,6.971186668,5.168012871,101.7308578,Good
292,11.0,11.6834569,21.0,16.90326739,20.0,6.10889896,15.0,4.315378261,10.34385525,10.35883573,12.0,30.86391707,0.865538733,1.308759353,2.460121365,0.708825673,0.830714194,24.10889896,5.0,5.0,350.0,267.1976568,9.0,7.014206736,6.504553772,129.09383559999998,Good
47,14.07999645,9.131815462999999,22.80085887,19.06705327,18.70674785,3.445310081,17.08361312,3.7054432989999997,7.505742402,7.332451742000001,7.0044335129999995,28.54124038,1.344253277,0.9571246109999999,1.922159709,0.6334603910000001,0.826498191,19.47566138,4.221967917,5.0,300.0,273.4108909,6.0,6.819047567999999,5.477942883,110.3012146,Bad
390,11.76661646,10.05764546,22.57401808,20.21694752,17.35714586,8.202560399,12.52345177,4.198389201,9.760526535,11.91794352,10.94666738,31.14418973,1.5814757369999999,1.8405641519999998,2.425779026,0.8403382770000001,0.787057564,20.80383449,5.0,5.0,350.0,350.0,6.0,6.909675233,5.1625914580000005,82.41659097,Good
165,10.7348895,4.029115683000001,21.23507612,16.24040829,14.88323145,2.403840029,12.95722249,2.9652985210000002,11.38084209,9.177283413,9.862084300000001,26.05104527,1.3204370429999999,1.4299030080000001,1.968554105,0.921451652,0.8054944009999999,25.0,4.470932049,3.726790467,350.0,350.0,7.137707722000001,6.843626938,4.934031224,86.32922992,Bad
41,15.38364925,13.01285863,22.15216656,19.98726506,15.4274505,4.097941219,8.716007363,2.180115097,7.236926277999999,7.1839013970000005,6.282151064,31.96271267,1.442855802,0.9641173040000001,2.1555765030000003,0.49798606799999995,0.738840365,25.96826664,7.149637959,7.149837023,300.0,300.0,9.0,7.0316813279999995,8.130522825,69.4313175,Warning
63,11.13415856,7.285891766000001,16.49802998,14.13456359,9.132476093,1.8184829269999998,10.23657002,1.451482991,8.0,6.413115853,6.249821736,27.84706156,1.3549288430000002,1.0120442509999998,1.5626285480000002,0.6731900959999999,0.572353807,17.92879154,3.2022745269999997,3.202089345,188.6903112,188.69955080000003,5.5,6.841875001,5.487717034,204.1704253,Good
